,participant_country,participant_country_id,participant_maddison_code,participant_region,participant_deaths,conflict_name,conflict_start_year,conflict_end_year,COW_id,UCDP_id,state_conflict_type,year,year_deaths_share,year_deaths
78,Spain,230.0,ESP,Europe,1623.0,First Moroccan,1911,1912,401,,Extrasystemic,1911,0.030807147258163893,50.0
79,France,220.0,FRA,Europe,1623.0,First Moroccan,1911,1912,401,,Extrasystemic,1911,0.030807147258163893,50.0
80,Italy,325.0,ITA,Europe,2850.0,Italo-Turkish,1911,1912,97,,Interstate,1911,0.5,1425.0
81,Turkey,640.0,TUR,Europe,6650.0,Italo-Turkish,1911,1912,97,,Interstate,1911,0.5,3325.0
82,Mexico,70.0,MEX,Americas,250000.0,Mexico vs. Liberals & Radicals,1910,1920,592,,Internal,1911,0.075556,18889.0
83,Morocco,600.0,MAR,Africa,1500.0,Morocco vs. Fez Caids of 1911,1911,1911,593,,Internal,1911,1.0,1500.0
84,France,220.0,FRA,Europe,150.0,Morocco vs. Fez Caids of 1911,1911,1911,593,,Internal,1911,1.0,150.0
85,Paraguay,150.0,PRY,Americas,2000.0,Paraguay vs. Liberals,1911,1912,594,,Internal,1911,0.5,1000.0
86,Yugoslavia,345.0,YUG,Europe,10800.0,First Balkan,1912,1913,100,,Interstate,1912,0.5,5400.0
87,Turkey,640.0,TUR,Europe,30000.0,First Balkan,1912,1913,100,,Interstate,1912,0.5,15000.0
88,Bulgaria,355.0,BGR,Europe,19200.0,First Balkan,1912,1913,100,,Interstate,1912,0.5,9600.0
89,Greece,350.0,GRC,Europe,3000.0,First Balkan,1912,1913,100,,Interstate,1912,0.5,1500.0
90,Spain,230.0,ESP,Europe,1623.0,First Moroccan,1911,1912,401,,Extrasystemic,1912,0.9691928527418361,1573.0
91,France,220.0,FRA,Europe,1623.0,First Moroccan,1911,1912,401,,Extrasystemic,1912,0.9691928527418361,1573.0
92,Italy,325.0,ITA,Europe,2850.0,Italo-Turkish,1911,1912,97,,Interstate,1912,0.5,1425.0
93,Turkey,640.0,TUR,Europe,6650.0,Italo-Turkish,1911,1912,97,,Interstate,1912,0.5,3325.0
94,Mexico,70.0,MEX,Americas,250000.0,Mexico vs. Liberals & Radicals,1910,1920,592,,Internal,1912,0.075556,18889.0
95,Paraguay,150.0,PRY,Americas,2000.0,Paraguay vs. Liberals,1911,1912,594,,Internal,1912,0.5,1000.0
96,China,710.0,CHN,Asia,2000.0,Sino-Tibetan of 1912,1912,1913,402,,Extrasystemic,1912,0.5,1000.0
97,China,710.0,CHN,Asia,7500.0,China vs. Republicans of 1913,1913,1913,597,,Internal,1913,1.0,7500.0
98,Yugoslavia,345.0,YUG,Europe,10800.0,First Balkan,1912,1913,100,,Interstate,1913,0.5,5400.0
99,Turkey,640.0,TUR,Europe,30000.0,First Balkan,1912,1913,100,,Interstate,1913,0.5,15000.0
100,Bulgaria,355.0,BGR,Europe,19200.0,First Balkan,1912,1913,100,,Interstate,1913,0.5,9600.0
101,Greece,350.0,GRC,Europe,3000.0,First Balkan,1912,1913,100,,Interstate,1913,0.5,1500.0
102,Mexico,70.0,MEX,Americas,250000.0,Mexico vs. Liberals & Radicals,1910,1920,592,,Internal,1913,0.16,40000.0
103,Yugoslavia,345.0,YUG,Europe,8165.0,Second Balkan,1913,1913,103,,Interstate,1913,1.0,8165.0
104,Greece,350.0,GRC,Europe,1103.0,Second Balkan,1913,1913,103,,Interstate,1913,1.0,1103.0
105,Bulgaria,355.0,BGR,Europe,7944.0,Second Balkan,1913,1913,103,,Interstate,1913,1.0,7944.0
106,Romania,360.0,ROU,Europe,662.0,Second Balkan,1913,1913,103,,Interstate,1913,1.0,662.0
107,Turkey,640.0,TUR,Europe,8826.0,Second Balkan,1913,1913,103,,Interstate,1913,1.0,8826.0
108,China,710.0,CHN,Asia,2000.0,Sino-Tibetan of 1912,1912,1913,402,,Extrasystemic,1913,0.5,1000.0
109,China,710.0,CHN,Asia,5000.0,China vs. Pai-Lings,1914,1914,598,,Internal,1914,1.0,5000.0
110,Mexico,70.0,MEX,Americas,250000.0,Mexico vs. Liberals & Radicals,1910,1920,592,,Internal,1914,0.16,40000.0
111,Japan,740.0,JPN,Asia,415.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1914,0.3396349784950475,140.9485160754447
112,Turkey,640.0,TUR,Europe,443598.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1914,0.3396349784950475,150661.39719044606
113,USSR,364.0,SUN,Europe,2200000.0,World War I: Sub-Saharan African Theater,1914,1917,106,,Interstate,1914,0.4127012884711204,907942.834636465
114,Yugoslavia,345.0,YUG,Europe,98000.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1914,0.3396349784950475,33284.22789251465
115,Germany,255.0,DEU,Europe,1963700.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1914,0.3396349784950475,666941.2072707247
116,France,220.0,FRA,Europe,1305735.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1914,0.3396349784950475,443473.2786452308
117,Belgium,211.0,BEL,Europe,20465.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1914,0.3396349784950475,6950.629834901147
118,United Kingdom,200.0,GBR,Europe,939004.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1914,0.3396349784950475,318918.6033467636
119,Austria (with Hungary),300.0,AUT,Europe,1022500.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1914,0.3396349784950475,347276.76551118604
120,Mexico,70.0,MEX,Americas,250000.0,Mexico vs. Liberals & Radicals,1910,1920,592,,Internal,1915,0.075556,18889.0
121,Japan,740.0,JPN,Asia,415.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1915,0.23217008363767025,96.35058470963315
122,Turkey,640.0,TUR,Europe,443598.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1915,0.23217008363767025,102990.18476150325
123,USSR,364.0,SUN,Europe,2200000.0,World War I: Sub-Saharan African Theater,1914,1917,106,,Interstate,1915,0.2821172692114558,620657.9922652028
124,Bulgaria,355.0,BGR,Europe,138344.0,World War I: Sub-Saharan African Theater,1915,1918,106,,Interstate,1915,0.3515784090268158,48638.763418405804
125,Yugoslavia,345.0,YUG,Europe,98000.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1915,0.23217008363767025,22752.668196491686
126,Italy,325.0,ITA,Europe,320000.0,World War I: Sub-Saharan African Theater,1915,1918,106,,Interstate,1915,0.3515784090268158,112505.09088858106
127,Germany,255.0,DEU,Europe,1963700.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1915,0.23217008363767025,455912.3932392931
128,France,220.0,FRA,Europe,1305735.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1915,0.23217008363767025,303152.6041586334
129,Belgium,211.0,BEL,Europe,20465.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1915,0.23217008363767025,4751.360761644922
130,United Kingdom,200.0,GBR,Europe,939004.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1915,0.23217008363767025,218008.6372161069
131,Austria (with Hungary),300.0,AUT,Europe,1022500.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1915,0.23217008363767025,237393.91051951784
132,Mexico,70.0,MEX,Americas,250000.0,Mexico vs. Liberals & Radicals,1910,1920,592,,Internal,1916,0.075556,18889.0
133,USSR,364.0,SUN,Europe,3000.0,Russia vs. Kirghiz & Kazables,1916,1917,599,,Internal,1916,0.5,1500.0
134,France,220.0,FRA,Europe,1000.0,Second Moroccan,1916,1917,404,,Extrasystemic,1916,0.5,500.0
135,Spain,230.0,ESP,Europe,1000.0,Second Moroccan,1916,1917,404,,Extrasystemic,1916,0.5,500.0
136,Japan,740.0,JPN,Asia,415.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1916,0.14079885657290633,58.431525477756125
137,Turkey,640.0,TUR,Europe,443598.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1916,0.14079885657290633,62458.0911780281
138,USSR,364.0,SUN,Europe,2200000.0,World War I: Sub-Saharan African Theater,1914,1917,106,,Interstate,1916,0.1710891786834796,376396.19310365507
139,Bulgaria,355.0,BGR,Europe,138344.0,World War I: Sub-Saharan African Theater,1915,1918,106,,Interstate,1916,0.21321368029461926,29496.83338667881
140,Yugoslavia,345.0,YUG,Europe,98000.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1916,0.14079885657290633,13798.28794414482
141,Italy,325.0,ITA,Europe,320000.0,World War I: Sub-Saharan African Theater,1915,1918,106,,Interstate,1916,0.21321368029461926,68228.37769427817
142,Germany,255.0,DEU,Europe,1963700.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1916,0.14079885657290633,276486.7146522162
143,Portugal,235.0,PRT,Europe,8956.0,World War I: Sub-Saharan African Theater,1916,1918,106,,Interstate,1916,0.32881952615830906,2944.907676273816
144,France,220.0,FRA,Europe,1305735.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1916,0.14079885657290633,183845.99498722385
145,Belgium,211.0,BEL,Europe,20465.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1916,0.14079885657290633,2881.448599764528
146,United Kingdom,200.0,GBR,Europe,939004.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1916,0.14079885657290633,132210.68951738533
147,Austria (with Hungary),300.0,AUT,Europe,1022500.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1916,0.14079885657290633,143966.83084579674
148,Romania,360.0,ROU,Europe,236333.0,World War I: Sub-Saharan African Theater,1916,1917,106,,Interstate,1916,0.5606146212046773,132491.73527316502
149,China,710.0,CHN,Asia,1000.0,China vs. Yunnan Rebels,1917,1918,602,,Internal,1917,0.5,500.0
150,Mexico,70.0,MEX,Americas,250000.0,Mexico vs. Liberals & Radicals,1910,1920,592,,Internal,1917,0.075556,18889.0
151,USSR,364.0,SUN,Europe,822775.0,Russia vs. Anti-Bolsheviks,1917,1921,600,,Internal,1917,0.2,164555.0
152,USSR,364.0,SUN,Europe,3000.0,Russia vs. Kirghiz & Kazables,1916,1917,599,,Internal,1917,0.5,1500.0
153,France,220.0,FRA,Europe,1000.0,Second Moroccan,1916,1917,404,,Extrasystemic,1917,0.5,500.0
154,Spain,230.0,ESP,Europe,1000.0,Second Moroccan,1916,1917,404,,Extrasystemic,1917,0.5,500.0
155,Greece,350.0,GRC,Europe,5000.0,World War I: Sub-Saharan African Theater,1917,1918,106,,Interstate,1917,0.38397192098662963,1919.8596049331481
156,Japan,740.0,JPN,Asia,415.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1917,0.11035202541863108,45.7960905487319
157,Turkey,640.0,TUR,Europe,443598.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1917,0.11035202541863108,48951.93777165391
158,USSR,364.0,SUN,Europe,2200000.0,World War I: Sub-Saharan African Theater,1914,1917,106,,Interstate,1917,0.13409226363394422,295002.9799946773
159,Bulgaria,355.0,BGR,Europe,138344.0,World War I: Sub-Saharan African Theater,1915,1918,106,,Interstate,1917,0.167107617491826,23118.336234289178
160,Yugoslavia,345.0,YUG,Europe,98000.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1917,0.11035202541863108,10814.498491025846
161,Italy,325.0,ITA,Europe,320000.0,World War I: Sub-Saharan African Theater,1915,1918,106,,Interstate,1917,0.167107617491826,53474.43759738432
162,Germany,255.0,DEU,Europe,1963700.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1917,0.11035202541863108,216698.27231456587
163,Portugal,235.0,PRT,Europe,8956.0,World War I: Sub-Saharan African Theater,1916,1918,106,,Interstate,1917,0.25771445586971037,2308.090666769126
164,France,220.0,FRA,Europe,1305735.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1917,0.11035202541863108,144090.50190999627
165,Belgium,211.0,BEL,Europe,20465.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1917,0.11035202541863108,2258.354200192285
166,United Kingdom,200.0,GBR,Europe,939004.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1917,0.11035202541863108,103620.99327619626
167,United States of America,2.0,USA,Americas,50585.0,World War I: Sub-Saharan African Theater,1917,1918,106,,Interstate,1917,0.38397192098662963,19423.21962310866
168,Austria (with Hungary),300.0,AUT,Europe,1022500.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1917,0.11035202541863108,112834.94599055027
169,Romania,360.0,ROU,Europe,236333.0,World War I: Sub-Saharan African Theater,1916,1917,106,,Interstate,1917,0.4393853787953229,103841.26472683506
170,United States of America,2.0,USA,Americas,98.0,Caco Revolt,1918,1920,406,,Extrasystemic,1918,0.3330494037478705,32.63884156729131
171,Haiti,41.0,HTI,Americas,2250.0,Caco Revolt,1918,1920,406,,Extrasystemic,1918,0.3330494037478705,749.3611584327086
172,China,710.0,CHN,Asia,1000.0,China vs. Yunnan Rebels,1917,1918,602,,Internal,1918,0.5,500.0
173,Finland,375.0,FIN,Europe,11750.0,Finland vs. Communists,1918,1918,603,,Internal,1918,1.0,11750.0
174,Mexico,70.0,MEX,Americas,250000.0,Mexico vs. Liberals & Radicals,1910,1920,592,,Internal,1918,0.075556,18889.0
175,USSR,364.0,SUN,Europe,822775.0,Russia vs. Anti-Bolsheviks,1917,1921,600,,Internal,1918,0.2,164555.0
176,France,220.0,FRA,Europe,50.0,Russia vs. Anti-Bolsheviks,1918,1919,600,,Internal,1918,0.5000000000000001,25.000000000000007
177,Japan,740.0,JPN,Asia,1500.0,Russia vs. Anti-Bolsheviks,1918,1920,600,,Internal,1918,0.33333333333333337,500.00000000000006
178,United States of America,2.0,USA,Americas,275.0,Russia vs. Anti-Bolsheviks,1918,1920,600,,Internal,1918,0.33333333333333337,91.66666666666667
179,United Kingdom,200.0,GBR,Europe,350.0,Russia vs. Anti-Bolsheviks,1918,1920,600,,Internal,1918,0.33333333333333337,116.66666666666669
180,China,710.0,CHN,Asia,1000.0,Sino-Tibetan of 1918,1918,1918,405,,Extrasystemic,1918,1.0,1000.0
181,Greece,350.0,GRC,Europe,5000.0,World War I: Sub-Saharan African Theater,1917,1918,106,,Interstate,1918,0.6160280790133705,3080.1403950668528
182,Japan,740.0,JPN,Asia,415.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1918,0.17704405587574484,73.47328318843411
183,Turkey,640.0,TUR,Europe,443598.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1918,0.17704405587574484,78536.38909836866
184,Bulgaria,355.0,BGR,Europe,138344.0,World War I: Sub-Saharan African Theater,1915,1918,106,,Interstate,1918,0.2681002931867388,37090.06696062619
185,Yugoslavia,345.0,YUG,Europe,98000.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1918,0.17704405587574484,17350.317475822994
186,Italy,325.0,ITA,Europe,320000.0,World War I: Sub-Saharan African Theater,1915,1918,106,,Interstate,1918,0.2681002931867388,85792.09381975641
187,Germany,255.0,DEU,Europe,1963700.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1918,0.17704405587574484,347661.41252320015
188,Portugal,235.0,PRT,Europe,8956.0,World War I: Sub-Saharan African Theater,1916,1918,106,,Interstate,1918,0.4134660179719806,3703.0016569570585
189,France,220.0,FRA,Europe,1305735.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1918,0.17704405587574484,231172.6202989157
190,Belgium,211.0,BEL,Europe,20465.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1918,0.17704405587574484,3623.206603497118
191,United Kingdom,200.0,GBR,Europe,939004.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1918,0.17704405587574484,166245.07664354792
192,United States of America,2.0,USA,Americas,50585.0,World War I: Sub-Saharan African Theater,1917,1918,106,,Interstate,1918,0.6160280790133705,31161.780376891347
193,Austria (with Hungary),300.0,AUT,Europe,1022500.0,World War I: Sub-Saharan African Theater,1914,1918,106,,Interstate,1918,0.17704405587574484,181027.5471329491
194,United Kingdom,200.0,GBR,Europe,236.0,British-Afghan of 1919,1919,1919,408,,Extrasystemic,1919,1.0,236.0
195,Afghanistan,700.0,AFG,Middle East,1000.0,British-Afghan of 1919,1919,1919,408,,Extrasystemic,1919,1.0,1000.0
196,United States of America,2.0,USA,Americas,98.0,Caco Revolt,1918,1920,406,,Extrasystemic,1919,0.33347529812606475,32.680579216354346
197,Haiti,41.0,HTI,Americas,2250.0,Caco Revolt,1918,1920,406,,Extrasystemic,1919,0.33347529812606475,750.3194207836457
198,France,220.0,FRA,Europe,125.0,Franco-Turkish,1919,1921,116,,Interstate,1919,0.333,41.625
199,Turkey,640.0,TUR,Europe,875.0,Franco-Turkish,1919,1921,116,,Interstate,1919,0.333,291.375
200,Greece,350.0,GRC,Europe,19362.0,Greco-Turkish,1919,1922,115,,Interstate,1919,0.24998454978060689,4840.20085285211
201,Turkey,640.0,TUR,Europe,13000.0,Greco-Turkish,1919,1922,115,,Interstate,1919,0.24998454978060689,3249.7991471478895
202,Romania,360.0,ROU,Europe,1800.0,Hungarian-Allies,1919,1919,112,,Interstate,1919,1.0,1800.0
203,Hungary,310.0,HUN,Europe,3670.0,Hungarian-Allies,1919,1919,112,,Interstate,1919,1.0,3670.0
204,Czechoslovakia,315.0,CSK,Europe,1200.0,Hungarian-Allies,1919,1919,112,,Interstate,1919,1.0,1200.0
